region,x,y,intercept,LnP,LnPXLnP,MinT,MinTXMinT,MinTXLnP,obs,prob
1,-111.0778514,31.35396472,1,0.413499355,0.045337251,8.5,97.34873259,2.100838857,0,0
1,-110.9010628,31.35396472,1,0.289230943,0.007860072,8.550000191,98.33789098,0.879171701,0,0
1,-110.7242742,31.35396472,1,0.466497511,0.070715368,6.329999924,59.2368212,2.04669334,0,0
1,-110.5474855,31.35396472,1,0.263440609,0.003952223,6.949999809,69.1649364,0.522833898,0,0
1,-110.3706969,31.35396472,1,0.54499507,0.118625944,7.699999809,82.20225532,3.122710384,0,0
1,-110.1939083,31.35396472,1,0.500896454,0.090193638,8.199999809,91.51880126,2.873049538,0,0
1,-110.0171197,31.35396472,1,0.171766028,0.000829893,7.849999905,84.94472086,-0.265509053,0,0
1,-109.840331,31.35396472,1,0.055434678,0.021065393,7.849999905,84.94472086,-1.337682296,0,0
1,-109.6635424,31.35396472,1,-0.039572746,0.05767041,8.159999847,90.75507831,-2.287768032,0,0
1,-109.4867538,31.35396472,1,0.077608973,0.015120373,7.96999979,87.17108977,-1.148067662,0,0
1,-109.3099652,31.35396472,1,0.217045039,0.000271299,8.140000343,90.3744259,0.156583676,0,0
1,-109.1331766,31.35396472,1,0.36144352,0.025879035,7.409999847,77.02775934,1.41187964,0,0
1,-108.9563879,31.35396472,1,0.448013633,0.061226423,5.809999943,51.50281357,1.77576267,0,0
1,-108.7795993,31.35396472,1,0.480325192,0.078260787,5.590000153,48.39353622,1.946102834,0,0
1,-108.6028107,31.35396472,1,-0.069993392,0.073206658,6.119999886,56.04837128,-2.025614457,0,0
1,-108.4260221,31.35396472,1,-0.084033966,0.081001636,6.300000191,58.77593253,-2.181959366,0,0
1,-108.2492335,31.35396472,1,-0.112720914,0.098153639,6.289999962,58.6226981,-2.398756163,0,0
1,-111.6082173,31.53075335,1,0.394404203,0.037570187,9.539999962,118.9527477,2.114019164,0,0
1,-111.4314286,31.53075335,1,0.473622084,0.074555312,8.770000458,102.7495768,2.767765666,0,0
1,-111.25464,31.53075335,1,0.510245502,0.095896503,8.649999619,100.3311888,3.101839799,0,0
1,-111.0778514,31.53075335,1,0.354101568,0.023570746,8.760000229,102.5469412,1.554705083,0,0
1,-110.9010628,31.53075335,1,0.475923538,0.075817425,8.81000042,103.5620997,2.802108442,0,0
1,-110.7242742,31.53075335,1,0.439480007,0.057076129,8.079999924,89.2372324,2.256837568,0,0
1,-110.5474855,31.53075335,1,0.429832458,0.052559488,6.800000191,66.69247885,1.872250663,0,0
1,-110.3706969,31.53075335,1,0.611991346,0.169264317,6.760000229,66.04075577,3.343402972,0,0
1,-110.1939083,31.53075335,1,0.007769725,0.037173449,8.329999924,94.02300542,-1.869534531,0,0
1,-110.0171197,31.53075335,1,0.176638767,0.00057289,8.06000042,88.8597799,-0.225625616,0,0
1,-109.840331,31.53075335,1,0.194414794,3.79E-05,7.940000057,86.61180198,-0.057319972,0,0
1,-109.6635424,31.53075335,1,-0.065819368,0.070965372,7.849999905,84.94472086,-2.455225789,0,0
1,-109.4867538,31.53075335,1,0.191363856,8.48E-05,7.380000114,76.50207125,-0.080556048,0,0
1,-109.3099652,31.53075335,1,0.415415436,0.046156887,7.110000134,71.8518366,1.821114246,0,0
1,-109.1331766,31.53075335,1,0.397634536,0.038832895,6.599999905,63.46585576,1.569892653,0,0
1,-108.9563879,31.53075335,1,0.468252093,0.071651616,5.639999866,49.09168684,1.875499591,0,0
1,-108.7795993,31.53075335,1,0.875843644,0.455989231,2.650000095,16.1326436,2.712252156,0,0
1,-108.6028107,31.53075335,1,0.031983044,0.028422876,6.130000114,56.19820564,-1.263849126,0,0
1,-108.4260221,31.53075335,1,-0.088831216,0.083755319,6.21999979,57.55567904,-2.195585181,0,0
1,-108.2492335,31.53075335,1,-0.098274574,0.089310408,6.119999886,56.04837128,-2.237342828,0,0
1,-112.1385831,31.70754197,1,0.104810394,0.009170648,11.55000019,166.8371689,-1.236933718,0,0
1,-111.9617945,31.70754197,1,0.157345578,0.001868688,11.39999962,162.9846904,-0.551876311,0,0
1,-111.7850059,31.70754197,1,0.163733199,0.001357237,11.21000004,158.1695136,-0.463328736,0,0
1,-111.6082173,31.70754197,1,0.424286902,0.050047509,7.730000019,82.74715189,2.035015674,0,0
1,-111.4314286,31.70754197,1,0.249434903,0.002387398,9.800000191,124.6917568,0.54560869,0,0
1,-111.25464,31.70754197,1,0.60360533,0.162434336,8.130000114,90.18439062,3.827406643,0,0
1,-111.0778514,31.70754197,1,0.040277854,0.025694822,9.960000038,128.2906482,-1.815600536,0,0
1,-110.9010628,31.70754197,1,1.048300982,0.71864121,7.119999886,72.02146332,7.194274914,0,0
1,-110.7242742,31.70754197,1,0.528154612,0.107309125,7.610000134,80.57838287,2.94054344,0,0
1,-110.5474855,31.70754197,1,0.180987298,0.000383635,7.460000038,77.90791731,-0.172882016,0,0
1,-110.3706969,31.70754197,1,0.102466337,0.009625093,8.130000114,90.18439062,-0.931682977,0,0
1,-110.1939083,31.70754197,1,-0.114401236,0.099209335,8.239999771,92.2857242,-3.025823075,0,0
1,-110.0171197,31.70754197,1,0.115558341,0.007227645,8.220000267,91.90187187,-0.815005571,0,0
1,-109.840331,31.70754197,1,0.370597571,0.02890805,7.889999866,85.68364383,1.573831961,0,0
1,-109.6635424,31.70754197,1,-0.037805706,0.056824835,7.78000021,83.65931,-2.180350088,0,0
1,-109.4867538,31.70754197,1,0.409988135,0.043854323,6.75,65.87832112,1.699720324,0,0
1,-109.3099652,31.70754197,1,0.923584104,0.522743759,4.619999886,35.83873323,4.328333873,0,0
1,-109.1331766,31.70754197,1,0.435023904,0.054966806,6.849999905,67.51162878,1.926369275,0,0
1,-108.9563879,31.70754197,1,0.537779093,0.113707344,5.559999943,47.97704054,2.335667326,0,0
1,-108.7795993,31.70754197,1,0.273912668,0.005378575,5.840000153,51.93430936,0.528519249,0,0
1,-108.6028107,31.70754197,1,0.027906971,0.029813867,6.090000153,55.6000825,-1.287498925,0,0
1,-108.4260221,31.70754197,1,-0.016332606,0.047048431,6.150000095,56.4984672,-1.630387756,0,0
1,-108.2492335,31.70754197,1,-0.057311364,0.066504808,5.880000114,52.51243251,-1.868777467,0,0
1,-112.668949,31.8843306,1,-0.068921484,0.07262776,12.26000023,185.6827657,-3.672291304,0,0
1,-112.4921604,31.8843306,1,-0.016434278,0.047092548,11.67000008,169.9515371,-2.829037105,0,0
