region,x,y,LnP,LnPXLnP,MinT,MinTXMinT,MinTXLnP
1,-111.0778514,31.35396472,0.413499355,0.045337251,8.5,97.34873259,2.100838857
1,-110.9010628,31.35396472,0.289230943,0.007860072,8.550000191,98.33789098,0.879171701
1,-110.7242742,31.35396472,0.466497511,0.070715368,6.329999924,59.2368212,2.04669334
1,-110.5474855,31.35396472,0.263440609,0.003952223,6.949999809,69.1649364,0.522833898
1,-110.3706969,31.35396472,0.54499507,0.118625944,7.699999809,82.20225532,3.122710384
1,-110.1939083,31.35396472,0.500896454,0.090193638,8.199999809,91.51880126,2.873049538
1,-110.0171197,31.35396472,0.171766028,0.000829893,7.849999905,84.94472086,-0.265509053
1,-109.840331,31.35396472,0.055434678,0.021065393,7.849999905,84.94472086,-1.337682296
1,-109.6635424,31.35396472,-0.039572746,0.05767041,8.159999847,90.75507831,-2.287768032
1,-109.4867538,31.35396472,0.077608973,0.015120373,7.96999979,87.17108977,-1.148067662
1,-109.3099652,31.35396472,0.217045039,0.000271299,8.140000343,90.3744259,0.156583676
1,-109.1331766,31.35396472,0.36144352,0.025879035,7.409999847,77.02775934,1.41187964
1,-108.9563879,31.35396472,0.448013633,0.061226423,5.809999943,51.50281357,1.77576267
1,-108.7795993,31.35396472,0.480325192,0.078260787,5.590000153,48.39353622,1.946102834
1,-108.6028107,31.35396472,-0.069993392,0.073206658,6.119999886,56.04837128,-2.025614457
1,-108.4260221,31.35396472,-0.084033966,0.081001636,6.300000191,58.77593253,-2.181959366
1,-108.2492335,31.35396472,-0.112720914,0.098153639,6.289999962,58.6226981,-2.398756163
1,-111.6082173,31.53075335,0.394404203,0.037570187,9.539999962,118.9527477,2.114019164
1,-111.4314286,31.53075335,0.473622084,0.074555312,8.770000458,102.7495768,2.767765666
1,-111.25464,31.53075335,0.510245502,0.095896503,8.649999619,100.3311888,3.101839799
1,-111.0778514,31.53075335,0.354101568,0.023570746,8.760000229,102.5469412,1.554705083
1,-110.9010628,31.53075335,0.475923538,0.075817425,8.81000042,103.5620997,2.802108442
1,-110.7242742,31.53075335,0.439480007,0.057076129,8.079999924,89.2372324,2.256837568
1,-110.5474855,31.53075335,0.429832458,0.052559488,6.800000191,66.69247885,1.872250663
1,-110.3706969,31.53075335,0.611991346,0.169264317,6.760000229,66.04075577,3.343402972
1,-110.1939083,31.53075335,0.007769725,0.037173449,8.329999924,94.02300542,-1.869534531
1,-110.0171197,31.53075335,0.176638767,0.00057289,8.06000042,88.8597799,-0.225625616
1,-109.840331,31.53075335,0.194414794,0.0000379,7.940000057,86.61180198,-0.057319972
1,-109.6635424,31.53075335,-0.065819368,0.070965372,7.849999905,84.94472086,-2.455225789
1,-109.4867538,31.53075335,0.191363856,0.0000848,7.380000114,76.50207125,-0.080556048
1,-109.3099652,31.53075335,0.415415436,0.046156887,7.110000134,71.8518366,1.821114246
1,-109.1331766,31.53075335,0.397634536,0.038832895,6.599999905,63.46585576,1.569892653
1,-108.9563879,31.53075335,0.468252093,0.071651616,5.639999866,49.09168684,1.875499591
1,-108.7795993,31.53075335,0.875843644,0.455989231,2.650000095,16.1326436,2.712252156
1,-108.6028107,31.53075335,0.031983044,0.028422876,6.130000114,56.19820564,-1.263849126
1,-108.4260221,31.53075335,-0.088831216,0.083755319,6.21999979,57.55567904,-2.195585181
1,-108.2492335,31.53075335,-0.098274574,0.089310408,6.119999886,56.04837128,-2.237342828
1,-112.1385831,31.70754197,0.104810394,0.009170648,11.55000019,166.8371689,-1.236933718
1,-111.9617945,31.70754197,0.157345578,0.001868688,11.39999962,162.9846904,-0.551876311
1,-111.7850059,31.70754197,0.163733199,0.001357237,11.21000004,158.1695136,-0.463328736
1,-111.6082173,31.70754197,0.424286902,0.050047509,7.730000019,82.74715189,2.035015674
